first_name,first_name,last_name,email,username,password,description,start_year,medical_center_name,avatar,department_name
Nguyễn Trường,Nguyễn Trường,Sơn,bs.sonnt@example.com,bs.sonnt,123,"PGS.TS.BS Nguyễn Trường Sơn, nguyên Giám đốc Bệnh viện Chợ Rẫy và Thứ trưởng Bộ Y tế, là chuyên gia hàng đầu về Hồi sức cấp cứu và Ghép tạng.",1988,Bệnh viện Chợ Rẫy,https://res.cloudinary.com/decumd3lu/image/upload/v1756032052/TH_Doctor_so7z3h.jpg,Tim mạch
Đỗ Quốc,Đỗ Quốc,Huy,bs.huydq@example.com,bs.huydq,123,"TS.BS Đỗ Quốc Huy là Phó Giám đốc Bệnh viện Nhân dân 115, chuyên sâu về Phẫu thuật Tim mạch và Lồng ngực, đặc biệt là các kỹ thuật mổ tim ít xâm lấn.",2000,Bệnh viện Nhân Dân 115,https://res.cloudinary.com/decumd3lu/image/upload/v1756035759/Heart_MaleDoctor_o2alzr.jpg,Tim mạch
Nguyễn Huy,Nguyễn Huy,Thắng,bs.thangnh@example.com,bs.thangnh,123,"PGS.TS.BS Nguyễn Huy Thắng là Trưởng khoa Bệnh lý Mạch máu não tại Bệnh viện Nhân dân 115, một trong những chuyên gia hàng đầu Việt Nam về Đột quỵ.",1996,Bệnh viện Nhân Dân 115,https://res.cloudinary.com/decumd3lu/image/upload/v1756035759/Heart_MaleDoctor_o2alzr.jpg,Tâm thần
Gazel,Gazel,Jean-Marcel,bs.gazel@example.com,bs.gazel,123,"Bác sĩ Jean-Marcel Gazel là chuyên gia người Pháp về phẫu thuật Chấn thương Chỉnh hình và Cột sống tại Bệnh viện FV, với hơn 30 năm kinh nghiệm.",1992,Bệnh viện FV,https://res.cloudinary.com/decumd3lu/image/upload/v1756027271/TT_MaleDoctor_nrprtp.jpg,Tâm thần
Võ Triệu,Võ Triệu,An,bs.anvt@example.com,bs.anvt,123,"Bác sĩ Võ Triệu An là chuyên gia về Tim mạch Can thiệp tại Bệnh viện FV, nổi tiếng với các kỹ thuật đặt stent và can thiệp mạch vành phức tạp.",2004,Bệnh viện FV,https://res.cloudinary.com/decumd3lu/image/upload/v1756035759/Heart_MaleDoctor_o2alzr.jpg,Tim mạch
Hứa Thị,Hứa Thị,Ngọc Hà,bs.hahTN@example.com,bs.hahTN,123,"ThS.BS Hứa Thị Ngọc Hà là bác sĩ tại khoa Tiêu hóa - Gan mật, chuyên thực hiện các thủ thuật nội soi chẩn đoán và điều trị bệnh lý dạ dày, đại tràng.",2010,Bệnh viện Đại học Y Dược TP.Hồ Chí Minh,https://res.cloudinary.com/decumd3lu/image/upload/v1756035759/Heart_FemaleDoctor_u7fbds.jpg,Tiêu hóa - Gan mật
Bùi Hữu,Bùi Hữu,Hoàng,bs.hoangbh@example.com,bs.hoangbh,123,"PGS.TS.BS Bùi Hữu Hoàng là Trưởng khoa Tiêu hóa tại Bệnh viện Đại học Y Dược, chuyên gia về các bệnh lý gan như viêm gan siêu vi B, C và xơ gan.",1994,Bệnh viện Đại học Y Dược TP.Hồ Chí Minh,https://res.cloudinary.com/decumd3lu/image/upload/v1756032052/TH_Doctor_so7z3h.jpg,Tiêu hóa - Gan mật
Lê Thị,Lê Thị,Thúy Hằng,bs.hangltt@example.com,bs.hangltt,123,"ThS.BS Lê Thị Thúy Hằng chuyên khoa Da liễu, có kinh nghiệm điều trị các bệnh da tự miễn, thẩm mỹ da bằng laser và các thủ thuật khác.",2012,Bệnh viện Đại học Y Dược TP.Hồ Chí Minh,https://res.cloudinary.com/decumd3lu/image/upload/v1756029286/SkinDoctor_xx8uer.jpg,Da liễu
Lâm Văn,Lâm Văn,Hoàng,bs.hoanglv@example.com,bs.hoanglv,123,"ThS.BS Lâm Văn Hoàng là chuyên gia về Tai Mũi Họng, đặc biệt là phẫu thuật nội soi mũi xoang và điều trị các bệnh lý về thanh quản.",2009,Bệnh viện Chợ Rẫy,https://res.cloudinary.com/decumd3lu/image/upload/v1756024748/ENT_MaleDoctor_lowdcr.jpg,Tai - Mũi - Họng
Trần Minh,Trần Minh,Trường,bs.truongtm@example.com,bs.truongtm,123,"PGS.TS.BS Trần Minh Trường là Phó Giám đốc Bệnh viện Chợ Rẫy, chuyên gia đầu ngành về Gây mê Hồi sức và điều trị đau sau mổ.",1997,Bệnh viện Chợ Rẫy,https://res.cloudinary.com/decumd3lu/image/upload/v1756032052/TH_Doctor_so7z3h.jpg,Tim mạch
Ngô Đức,Ngô Đức,Hiệp,bs.hiepnd@example.com,bs.hiepnd,123,"BS.CKII Ngô Đức Hiệp chuyên sâu về Phỏng - Phẫu thuật tạo hình, có nhiều kinh nghiệm trong việc tái tạo các vùng cơ thể bị tổn thương do bỏng và tai nạn.",2005,Bệnh viện Chợ Rẫy,https://res.cloudinary.com/decumd3lu/image/upload/v1756027271/TT_MaleDoctor_nrprtp.jpg,Da liễu
Ngô Thị,Ngô Thị,Kim Yến,bs.yenntk@example.com,bs.yenntk,123,"BS.CKII Ngô Thị Kim Yến là chuyên gia về Tim mạch, Trưởng khoa Tim mạch can thiệp tại Bệnh viện Nhân dân 115.",2001,Bệnh viện Nhân Dân 115,https://res.cloudinary.com/decumd3lu/image/upload/v1756035759/Heart_FemaleDoctor_u7fbds.jpg,Tim mạch
Trần Thị,Trần Thị,Mai Linh,bs.linhttm@example.com,bs.linhttm,123,"BS.CKI Trần Thị Mai Linh có kinh nghiệm trong chẩn đoán và điều trị các bệnh lý Nội tiết như đái tháo đường, bệnh lý tuyến giáp.",2011,Bệnh viện Nhân Dân 115,https://res.cloudinary.com/decumd3lu/image/upload/v1756035759/Heart_FemaleDoctor_u7fbds.jpg,Tim mạch
Bùi Bỉnh,Bùi Bỉnh,Bảo Sơn,bs.sonbbb@example.com,bs.sonbbb,123,"Bác sĩ Bùi Bỉnh Bảo Sơn chuyên khoa Răng Hàm Mặt, thực hiện các dịch vụ cấy ghép Implant, niềng răng và nha khoa thẩm mỹ.",2014,Bệnh viện Răng - Hàm - Mặt TP.Hồ Chí Minh,https://res.cloudinary.com/decumd3lu/image/upload/v1756021852/RHM_MaleDoctor_gyosj9.jpg,Răng - Hàm - Mặt
Nguyễn Thị,Nguyễn Thị,Hồng Chuyên,bs.chuyennt@example.com,bs.chuyennt,123,"ThS.BS Nguyễn Thị Hồng Chuyên là chuyên gia về nha khoa trẻ em, điều trị các vấn đề răng miệng cho trẻ và nắn chỉnh răng.",2013,Bệnh viện Răng - Hàm - Mặt TP.Hồ Chí Minh,https://res.cloudinary.com/decumd3lu/image/upload/v1756021852/RHM_FemaleDoctor_maxpvh.jpg,Răng - Hàm - Mặt
Nguyễn Thị,Nguyễn Thị,Ngọc Dung,bs.dungntn@example.com,bs.dungntn,123,"GS.TS.BS Nguyễn Thị Ngọc Dung, nguyên Giám đốc Bệnh viện Tai Mũi Họng, là chuyên gia hàng đầu trong lĩnh vực Tai Mũi Họng tại Việt Nam.",1982,Bệnh viện Tai - Mũi - Họng TP.Hồ Chí Minh,https://res.cloudinary.com/decumd3lu/image/upload/v1756024748/ENT_FemaleDoctor_ymcudf.jpg,Tai - Mũi - Họng
Lê Trần,Lê Trần,Quang Minh,bs.minhltq@example.com,bs.minhltq,123,"PGS.TS.BS Lê Trần Quang Minh là Giám đốc Bệnh viện Tai Mũi Họng, chuyên về phẫu thuật đầu cổ và các bệnh lý phức tạp về tai.",1999,Bệnh viện Tai - Mũi - Họng TP.Hồ Chí Minh,https://res.cloudinary.com/decumd3lu/image/upload/v1756024748/ENT_MaleDoctor_lowdcr.jpg,Tai - Mũi - Họng
Nguyễn Tấn,Nguyễn Tấn,Vinh,bs.vinhnt@example.com,bs.vinhnt,123,"BS.CKII Nguyễn Tấn Vinh chuyên khoa Hô hấp, có nhiều kinh nghiệm trong điều trị các bệnh phổi, hen suyễn, và tầm soát ung thư phổi.",2006,Bệnh viện Đa khoa Vạn Hạnh,https://res.cloudinary.com/decumd3lu/image/upload/v1756037459/Lung_MaleDoctor_jh4bc7.jpg,Hô hấp
Phạm Thị,Phạm Thị,Thu Oanh,bs.oanhptt@example.com,bs.oanhptt,123,"Bác sĩ Phạm Thị Thu Oanh là chuyên gia Sản phụ khoa, đặc biệt có kinh nghiệm trong việc theo dõi thai kỳ nguy cơ cao và đỡ sanh.",2007,Bệnh viện Đa khoa Vạn Hạnh,https://res.cloudinary.com/decumd3lu/image/upload/v1756033811/SPK_Doctor_hmrdsm.jpg,Sản phụ khoa
Vũ Thị,Vũ Thị,Thanh,bs.thanhvt@example.com,bs.thanhvt,123,"GS.TS.BS Vũ Thị Thanh là chuyên gia về Tâm thần, đặc biệt là các rối loạn lo âu, trầm cảm và tâm thần phân liệt.",1991,Bệnh viện Tâm thần TP.Hồ Chí Minh,https://res.cloudinary.com/decumd3lu/image/upload/v1756027271/TT_FemaleDoctor_updsky.jpg,Tâm thần
Lê Nguyễn,Lê Nguyễn,Thanh Tùng,bs.tunglnt@example.com,bs.tunglnt,123,"ThS.BS Lê Nguyễn Thanh Tùng chuyên về Tâm thần nhi và vị thành niên, giúp chẩn đoán và điều trị các vấn đề như tự kỷ, tăng động giảm chú ý.",2015,Bệnh viện Tâm thần TP.Hồ Chí Minh,https://res.cloudinary.com/decumd3lu/image/upload/v1756027271/TT_MaleDoctor_nrprtp.jpg,Tâm thần
Nguyễn Thị,Nguyễn Thị,Phương Nga,bs.ngantp@example.com,bs.ngantp,123,"BS.CKI Nguyễn Thị Phương Nga là chuyên gia về Sản Phụ Khoa, Trưởng khoa Phụ sản Bệnh viện Quân y 175.",2002,Bệnh viện Quân Y 175,https://res.cloudinary.com/decumd3lu/image/upload/v1756033811/SPK_Doctor_hmrdsm.jpg,Sản phụ khoa
Phạm Tấn,Phạm Tấn,Đạt,bs.datpt@example.com,bs.datpt,123,"BS.CKII Phạm Tấn Đạt chuyên khoa Chấn thương chỉnh hình, có kinh nghiệm phẫu thuật thay khớp và nội soi khớp.",2008,Bệnh viện Quân Y 175,https://res.cloudinary.com/decumd3lu/image/upload/v1756027271/TT_MaleDoctor_nrprtp.jpg,Tim mạch
Nguyễn Thị,Nguyễn Thị,Kiều My,bs.myntk@example.com,bs.myntk,123,"ThS.BS Nguyễn Thị Kiều My là chuyên gia về Tim mạch, đặc biệt trong lĩnh vực siêu âm tim và chẩn đoán các bệnh lý van tim, cơ tim.",2014,Bệnh viện Nguyễn Tri Phương,https://res.cloudinary.com/decumd3lu/image/upload/v1756035759/Heart_FemaleDoctor_u7fbds.jpg,Tim mạch
La Văn,La Văn,Thắng,bs.thanglv@example.com,bs.thanglv,123,"TS.BS La Văn Thắng chuyên khoa Ngoại Tiêu hóa, có kinh nghiệm phẫu thuật các bệnh lý dạ dày, đại trực tràng và gan mật tụy.",2005,Bệnh viện Nguyễn Tri Phương,https://res.cloudinary.com/decumd3lu/image/upload/v1756032052/TH_Doctor_so7z3h.jpg,Tiêu hóa - Gan mật
Nguyễn Thị,Nguyễn Thị,Dịu,bs.diunt@example.com,bs.diunt,123,"Bác sĩ Nguyễn Thị Dịu chuyên về Sản phụ khoa và Hỗ trợ sinh sản, làm việc tại Bệnh viện Từ Dũ.",2010,Bệnh viện Từ Dũ,https://res.cloudinary.com/decumd3lu/image/upload/v1756033811/SPK_Doctor_hmrdsm.jpg,Sản phụ khoa
Nguyễn Khắc,Nguyễn Khắc,Hân Hoan,bs.hoannk@example.com,bs.hoannk,123,"BS.CKI Nguyễn Khắc Hân Hoan là chuyên gia về Sơ sinh, Trưởng khoa Sơ sinh tại Bệnh viện Từ Dũ.",2004,Bệnh viện Từ Dũ,https://res.cloudinary.com/decumd3lu/image/upload/v1756027271/TT_MaleDoctor_nrprtp.jpg,Sản phụ khoa
Trần Ngọc,Trần Ngọc,Hải,bs.haitn@example.com,bs.haitn,123,"PGS.TS.BS Trần Ngọc Hải, Giám đốc Bệnh viện Mắt, là chuyên gia về phẫu thuật đục thủy tinh thể và các bệnh lý giác mạc.",1996,Bệnh viện Mắt TP.Hồ Chí Minh,https://res.cloudinary.com/decumd3lu/image/upload/v1756019467/MaleEyeDoctor_i9kbob.jpg,Nhãn khoa
Phạm Nguyễn,Phạm Nguyễn,Vinh,bs.vinhpn@example.com,bs.vinhpn,123,"GS.TS.BS Phạm Nguyễn Vinh là một trong những chuyên gia Tim mạch hàng đầu Việt Nam, hiện là Giám đốc Y khoa Bệnh viện FV.",1980,Bệnh viện FV,https://res.cloudinary.com/decumd3lu/image/upload/v1756035759/Heart_MaleDoctor_o2alzr.jpg,Tim mạch
Nguyễn Thị,Nguyễn Thị,Bích Liên,bs.lienntb@example.com,bs.lienntb,123,"BS.CKII Nguyễn Thị Bích Liên chuyên khoa Nội tổng quát, có nhiều kinh nghiệm điều trị các bệnh lý mãn tính tại Bệnh viện Tân Bình.",2000,Bệnh viện Tân Bình,https://res.cloudinary.com/decumd3lu/image/upload/v1756035759/Heart_FemaleDoctor_u7fbds.jpg,Tim mạch
Trương Hữu,Trương Hữu,Khanh,bs.khanhth@example.com,bs.khanhth,123,"BS.CKII Trương Hữu Khanh là chuyên gia hàng đầu về các bệnh Nhiễm nhi và Thần kinh nhi, Trưởng khoa Nhiễm - Thần kinh tại Bệnh viện Nhi Đồng 1.",1992,Bệnh viện Nhi Đồng 1,https://res.cloudinary.com/decumd3lu/image/upload/v1756027271/TT_MaleDoctor_nrprtp.jpg,Tâm thần
Nguyễn Thị,Nguyễn Thị,Thanh Mai,bs.maintt@example.com,bs.maintt,123,"ThS.BS Nguyễn Thị Thanh Mai chuyên khoa Hô hấp nhi, điều trị các bệnh lý hen suyễn, viêm phế quản ở trẻ em.",2013,Bệnh viện Nhi Đồng 1,https://res.cloudinary.com/decumd3lu/image/upload/v1756037459/Lung_FemaleDoctor_ez9vox.jpg,Hô hấp
Trần Thị,Trần Thị,Mỹ Phượng,bs.phuongttm@example.com,bs.phuongttm,123,"BS.CKII Trần Thị Mỹ Phượng là chuyên gia Tim mạch, Trưởng khoa Tim mạch tại Bệnh viện Tâm Trí Sài Gòn.",2001,Bệnh viện Tâm Trí Sài Gòn,https://res.cloudinary.com/decumd3lu/image/upload/v1756035759/Heart_FemaleDoctor_u7fbds.jpg,Tim mạch
Võ Thị,Võ Thị,Minh Thư,bs.thuvtm@example.com,bs.thuvtm,123,"ThS.BS Võ Thị Minh Thư chuyên khoa Nội tiết, có kinh nghiệm điều trị các bệnh lý tiểu đường, tuyến giáp tại Bệnh viện Tâm Trí Sài Gòn.",2012,Bệnh viện Tâm Trí Sài Gòn,https://res.cloudinary.com/decumd3lu/image/upload/v1756035759/Heart_FemaleDoctor_u7fbds.jpg,Tim mạch
Lê Minh,Lê Minh,Sơn,bs.sonlm@example.com,bs.sonlm,123,"ThS.BS Lê Minh Sơn là chuyên gia về Nội thận, Trưởng khoa Nội thận - Miễn dịch ghép tại Bệnh viện Chợ Rẫy.",2006,Bệnh viện Chợ Rẫy,https://res.cloudinary.com/decumd3lu/image/upload/v1756032052/TH_Doctor_so7z3h.jpg,Tiêu hóa - Gan mật
Nguyễn Hữu,Nguyễn Hữu,Ước,bs.uocnh@example.com,bs.uocnh,123,"GS.TS.BS Nguyễn Hữu Ước là một trong những chuyên gia hàng đầu về phẫu thuật Tim mạch và Lồng ngực, đặc biệt là phẫu thuật tim hở.",1989,Bệnh viện Đại học Y Dược TP.Hồ Chí Minh,https://res.cloudinary.com/decumd3lu/image/upload/v1756035759/Heart_MaleDoctor_o2alzr.jpg,Tim mạch
Trần,Trần,Văn Dương,bs.duongtv@example.com,bs.duongtv,123,"TS.BS Trần Văn Dương chuyên về Tiêu hóa - Gan mật, đặc biệt là các bệnh lý viêm gan B, C và ung thư gan.",2002,Bệnh viện Nhân Dân 115,https://res.cloudinary.com/decumd3lu/image/upload/v1756032052/TH_Doctor_so7z3h.jpg,Tiêu hóa - Gan mật
Phạm,Phạm,Thọ Tuấn Anh,bs.anhptt@example.com,bs.anhtuan,123,TS.BS Phạm Thọ Tuấn Anh là chuyên gia hàng đầu về phẫu thuật Răng Hàm Mặt và tạo hình thẩm mỹ.,1995,Bệnh viện Răng - Hàm - Mặt TP.Hồ Chí Minh,https://res.cloudinary.com/decumd3lu/image/upload/v1756021852/RHM_MaleDoctor_gyosj9.jpg,Răng - Hàm - Mặt
Lê,Lê,Viết Thắng,bs.thanglv@example.com,bs.thangvi,123,"ThS.BS Lê Viết Thắng chuyên khoa Tai Mũi Họng, Phó trưởng khoa tại Bệnh viện Tai - Mũi - Họng.",2007,Bệnh viện Tai - Mũi - Họng TP.Hồ Chí Minh,https://res.cloudinary.com/decumd3lu/image/upload/v1756024748/ENT_MaleDoctor_lowdcr.jpg,Tai - Mũi - Họng
Nguyễn Thị,Nguyễn Thị,Thanh Tâm,bs.tamntt@example.com,bs.tamthan,123,BS.CKII Nguyễn Thị Thanh Tâm là Trưởng khoa Lâm sàng tại Bệnh viện Tâm thần TP.Hồ Chí Minh.,2000,Bệnh viện Tâm thần TP.Hồ Chí Minh,https://res.cloudinary.com/decumd3lu/image/upload/v1756027271/TT_FemaleDoctor_updsky.jpg,Tâm thần
Trần Thị,Trần Thị,Hoài Hương,bs.huongtth@example.com,bs.huongho,123,"ThS.BS Trần Thị Hoài Hương là Trưởng khoa Dinh dưỡng - Tiết chế tại Bệnh viện Đa khoa Tâm Anh, chuyên tư vấn dinh dưỡng cho mọi lứa tuổi.",2009,Bệnh viện Đa khoa Tâm Anh TP.Hồ Chí Minh,https://res.cloudinary.com/decumd3lu/image/upload/v1756029286/SkinDoctor_xx8uer.jpg,Da liễu
Vũ,Vũ,Quang Hưng,bs.hungvq@example.com,bs.hungqua,123,BS.CKI Vũ Quang Hưng là chuyên gia về phẫu thuật Chấn thương chỉnh hình tại Bệnh viện Quân Y 175.,2010,Bệnh viện Quân Y 175,https://res.cloudinary.com/decumd3lu/image/upload/v1756027271/TT_MaleDoctor_nrprtp.jpg,Tim mạch
Vũ,Vũ,Đình Kha,bs.khavd@example.com,bs.khavudi,123,PGS.TS.BS Vũ Đình Kha là chuyên gia về Phụ khoa Ung thư và phẫu thuật nội soi tại Bệnh viện Từ Dũ.,1998,Bệnh viện Từ Dũ,https://res.cloudinary.com/decumd3lu/image/upload/v1756033811/SPK_Doctor_hmrdsm.jpg,Sản phụ khoa
Trần,Trần,Thị Thúy,bs.thuytt@example.com,bs.thuytran,123,"BS.CKII Trần Thị Thúy là Trưởng khoa Nội soi Bệnh viện Nguyễn Tri Phương, chuyên sâu về nội soi chẩn đoán và can thiệp.",2003,Bệnh viện Nguyễn Tri Phương,https://res.cloudinary.com/decumd3lu/image/upload/v1756032052/TH_Doctor_so7z3h.jpg,Tiêu hóa - Gan mật
Nguyễn,Nguyễn,Thanh Hải,bs.hain@example.com,bs.hainguy,123,"Bác sĩ Nguyễn Thanh Hải chuyên khoa Nhãn khoa, phẫu thuật Lasik và điều trị các bệnh về mắt trẻ em.",2012,Bệnh viện Mắt TP.Hồ Chí Minh,https://res.cloudinary.com/decumd3lu/image/upload/v1756019467/MaleEyeDoctor_i9kbob.jpg,Nhãn khoa
Trần,Trần,Thị Thanh Loan,bs.loanttt@example.com,bs.loantran,123,"BS.CKII Trần Thị Thanh Loan là chuyên gia Nhi khoa, đặc biệt về các bệnh lý sơ sinh và dinh dưỡng nhi.",2005,Bệnh viện Nhi Đồng 1,https://res.cloudinary.com/decumd3lu/image/upload/v1756033811/SPK_Doctor_hmrdsm.jpg,Sản phụ khoa
Hoàng,Hoàng,Lê Phúc,bs.phuchl@example.com,bs.phuchoang,123,"TS.BS Hoàng Lê Phúc là Trưởng khoa Tiêu hóa tại Bệnh viện Nhi Đồng 1, chuyên điều trị các bệnh lý về gan và đường ruột ở trẻ em.",1999,Bệnh viện Nhi Đồng 1,https://res.cloudinary.com/decumd3lu/image/upload/v1756032052/TH_Doctor_so7z3h.jpg,Tiêu hóa - Gan mật
Bùi,Bùi,Hồng Thiên Khanh,bs.khanhbht@example.com,bs.khanhthien,123,"PGS.TS.BS Bùi Hồng Thiên Khanh là Trưởng khoa Chấn thương chỉnh hình tại Bệnh viện Đại học Y Dược TP.Hồ Chí Minh, chuyên về phẫu thuật khớp và y học thể thao.",1997,Bệnh viện Đại học Y Dược TP.Hồ Chí Minh,https://res.cloudinary.com/decumd3lu/image/upload/v1756027271/TT_MaleDoctor_nrprtp.jpg,Tim mạch
Nguyễn,Nguyễn,Thị Bích Đào,bs.daontb@example.com,bs.daobich,123,PGS.TS.BS Nguyễn Thị Bích Đào là chuyên gia hàng đầu về Dị ứng - Miễn dịch lâm sàng tại Bệnh viện Đại học Y Dược TP.Hồ Chí Minh.,1993,Bệnh viện Đại học Y Dược TP.Hồ Chí Minh,https://res.cloudinary.com/decumd3lu/image/upload/v1756029286/SkinDoctor_xx8uer.jpg,Da liễu
Didier,Didier,Fontaine,bs.fontaine.d@example.com,bs.fontaine,123,Dr. Didier Fontaine is a French neurosurgeon at FV Hospital with extensive experience in brain and spine surgery.,1990,Bệnh viện FV,https://res.cloudinary.com/decumd3lu/image/upload/v1756027271/TT_MaleDoctor_nrprtp.jpg,Tâm thần
Nguyễn,Nguyễn,Thị Thu Ba,bs.bantt@example.com,bs.bathu,123,"PGS.TS.BS Nguyễn Thị Thu Ba là Chủ tịch Hội Thần kinh học TP.HCM, chuyên gia điều trị các bệnh lý Parkinson, Alzheimer và động kinh.",1986,Bệnh viện Nhân Dân 115,https://res.cloudinary.com/decumd3lu/image/upload/v1756027271/TT_FemaleDoctor_updsky.jpg,Tâm thần
Lưu,Lưu,Văn Minh,bs.minhlv@example.com,bs.minhluu,123,"ThS.BS Lưu Văn Minh là chuyên gia về Tim mạch, có kinh nghiệm trong việc thực hiện các thủ thuật can thiệp mạch vành tại Bệnh viện Đa khoa Vạn Hạnh.",2009,Bệnh viện Đa khoa Vạn Hạnh,https://res.cloudinary.com/decumd3lu/image/upload/v1756035759/Heart_MaleDoctor_o2alzr.jpg,Tim mạch
